N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
N,G,G,G,G,W,N,W,W,W,N,W,W,W,N,W,W,W,N,W,W,W,N,W,W,W,N,W,W,W,W,C,C,C,C,N
N,G,G,G,G,W,W,W,N,W,W,W,N,W,W,W,N,W,W,W,N,W,W,W,N,W,W,W,N,W,W,C,C,C,C,N
N,G,G,N,N,P,N,N,N,N,N,W,N,N,N,N,N,N,N,N,N,N,N,W,N,N,N,N,N,R,N,N,N,C,C,N
N,G,G,N,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,N,C,C,N
N,W,W,W,W,N,N,N,N,N,N,N,W,N,N,W,W,W,W,W,W,N,W,N,N,N,N,N,N,N,W,W,W,W,W,N
N,W,W,N,W,N,W,W,W,W,W,N,W,W,W,W,W,W,W,W,W,N,W,N,W,W,W,W,W,N,W,W,N,W,W,N
N,W,W,N,W,N,W,N,N,N,W,N,W,N,W,W,N,N,N,W,N,W,W,N,W,N,N,N,W,N,W,W,N,W,W,N
N,W,W,N,W,N,W,N,N,N,W,N,W,N,N,W,N,N,W,N,W,W,W,N,W,N,N,N,W,N,W,W,N,W,W,N
N,W,W,N,W,N,W,N,N,N,W,N,W,N,N,N,N,W,W,W,N,W,W,N,W,N,N,N,W,N,W,W,N,W,W,N
N,W,W,N,W,N,W,W,W,W,W,N,W,W,N,W,W,N,N,W,W,W,W,N,W,W,W,W,W,N,W,W,N,W,W,N
N,W,W,W,W,N,N,N,N,N,N,N,W,N,W,N,W,N,W,N,W,N,W,N,N,N,N,N,N,N,W,W,W,W,W,N
N,W,W,N,W,W,W,W,W,W,W,W,W,W,N,W,N,W,W,W,W,N,W,W,W,W,W,W,W,W,W,W,N,W,W,N
N,W,W,N,W,N,N,N,N,W,W,N,W,N,W,W,W,N,W,N,W,N,N,W,W,N,N,N,W,N,W,W,N,W,W,N
N,W,W,N,W,W,W,W,W,N,W,W,N,W,N,W,W,W,W,N,W,N,W,W,N,W,W,W,N,W,W,W,N,W,W,N
N,W,W,N,W,W,N,N,N,N,W,N,N,W,W,W,N,N,N,W,W,W,W,N,N,N,W,W,W,W,W,W,N,W,W,N
N,W,W,N,W,W,N,N,N,N,W,W,N,W,W,W,N,W,N,N,N,N,N,N,N,N,N,N,W,W,W,W,N,W,W,N
N,W,N,N,W,W,W,N,W,W,N,N,W,W,N,W,W,N,N,W,N,W,N,N,N,N,W,N,N,N,W,W,N,N,W,N
N,W,W,N,W,W,W,W,W,N,N,W,W,N,N,N,W,N,W,W,N,N,W,N,N,N,W,W,W,N,W,W,N,W,W,N
N,W,W,N,W,W,N,W,N,W,W,N,N,W,W,W,W,W,N,N,W,N,N,W,W,N,W,N,N,W,W,W,N,W,W,N
N,W,W,N,W,N,W,N,N,N,W,W,W,N,N,W,W,N,W,W,W,N,N,N,N,N,W,W,W,N,W,W,N,W,W,N
N,W,W,N,W,W,W,W,N,N,N,N,W,W,N,W,W,N,N,W,N,N,N,N,N,N,N,N,N,N,W,W,N,W,W,N
N,W,W,N,W,W,W,W,W,W,W,W,W,N,N,W,W,N,N,N,W,N,W,W,W,N,W,N,W,N,W,W,N,W,W,N
N,W,W,W,W,N,N,N,N,N,N,N,W,W,W,W,W,W,N,N,W,N,W,N,W,N,W,N,N,N,W,W,W,W,W,N
N,W,W,N,W,N,W,W,W,W,W,N,W,W,W,N,W,N,W,W,W,N,W,W,W,N,W,W,N,W,W,W,N,W,W,N
N,W,W,N,W,N,W,N,N,N,W,N,W,W,N,N,W,W,W,W,W,N,N,N,N,N,N,W,N,N,W,W,N,W,W,N
N,W,W,N,W,N,W,N,N,N,W,N,W,N,N,W,N,W,N,N,W,W,N,N,W,N,N,N,N,N,W,W,N,W,W,N
N,W,W,N,W,N,W,N,N,N,W,N,W,N,W,W,N,N,W,N,N,W,W,N,W,N,W,N,N,W,W,W,N,W,W,N
N,W,W,N,W,N,W,W,W,W,W,N,W,N,W,W,N,N,N,N,N,W,N,W,W,N,W,N,W,W,W,W,N,W,W,N
N,W,W,W,W,N,N,N,N,N,N,N,W,N,N,N,W,W,W,N,W,W,W,N,N,N,N,N,N,N,W,W,W,W,W,N
N,W,W,N,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,N,W,W,N
N,W,W,N,N,R,N,N,N,N,N,W,N,N,N,N,N,N,N,N,N,N,N,W,N,N,N,N,N,P,N,N,N,W,W,N
N,W,W,W,W,W,N,W,W,W,N,W,W,W,W,W,W,N,W,W,W,W,W,W,N,W,W,W,N,W,W,W,W,W,W,N
N,W,W,W,N,W,N,W,N,W,N,W,W,W,W,W,W,N,W,W,W,W,W,W,N,W,N,W,N,W,N,W,W,W,W,N
N,Y,W,W,N,W,W,W,N,W,W,W,W,W,W,W,W,N,W,W,W,W,W,W,W,W,N,W,W,W,N,W,W,W,O,N
N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
