N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
N,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,N,N,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,N
N,W,W,N,W,W,N,W,W,W,W,W,W,N,W,W,W,N,N,W,W,W,N,W,W,W,W,W,W,N,W,W,N,W,W,N
N,W,W,W,W,W,W,W,W,W,N,W,W,W,N,W,W,N,P,W,W,N,W,W,W,N,W,W,W,W,W,W,W,W,W,N
N,W,W,W,W,W,W,W,W,W,N,N,W,W,W,O,W,W,W,W,Y,W,W,W,N,N,W,W,W,W,W,W,W,W,W,N
N,W,N,W,W,W,W,N,W,W,N,N,W,W,W,W,W,W,W,W,W,W,W,W,N,N,W,W,N,W,W,W,W,N,W,N
N,W,W,N,N,N,N,W,W,W,W,N,N,W,W,W,W,W,W,W,W,W,W,N,N,W,W,W,W,N,N,N,N,W,W,N
N,W,W,W,W,W,W,W,W,W,W,W,N,N,N,N,W,N,N,W,N,N,N,N,W,W,W,W,W,W,W,W,W,W,W,N
N,N,N,N,N,N,N,N,W,W,W,W,W,N,W,W,W,W,W,W,W,W,N,W,W,W,W,W,N,N,N,N,N,N,N,N
N,N,W,W,W,W,W,W,W,W,W,W,W,W,N,W,W,W,W,W,W,N,W,W,W,W,W,W,W,W,W,W,W,W,N,N
N,W,W,W,W,W,W,W,W,W,W,W,W,W,W,N,W,W,W,W,N,W,W,W,W,W,W,W,W,W,W,W,W,W,W,N
N,W,W,W,W,W,W,W,W,W,W,W,W,W,W,N,W,W,W,W,N,W,W,W,W,W,W,W,W,W,W,W,W,W,W,N
N,W,W,W,N,N,N,N,N,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,N,N,N,N,N,W,W,W,N
N,W,W,W,G,W,G,W,G,W,W,W,W,W,W,N,W,C,C,W,N,W,W,W,W,W,W,G,G,G,W,G,W,W,W,N
N,W,W,W,G,G,G,G,G,W,W,W,W,W,W,N,W,C,C,W,N,W,W,W,W,W,W,G,G,G,G,G,W,W,W,N
N,W,W,W,W,G,W,G,W,W,W,W,W,W,W,N,W,C,C,W,N,W,W,W,W,W,W,G,W,G,G,G,W,W,W,N
N,W,W,W,N,N,N,N,N,W,W,W,W,W,N,W,W,W,W,W,W,N,W,W,W,W,W,N,N,N,N,N,W,W,W,N
N,W,W,W,W,W,W,W,W,W,W,W,W,N,W,W,W,W,W,W,W,W,N,W,W,W,W,W,W,W,W,W,W,W,W,N
N,W,W,W,W,W,W,W,W,W,W,W,W,W,N,N,N,W,W,N,N,N,W,W,W,W,W,W,W,W,W,W,W,W,W,N
N,N,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,N,N
N,R,N,N,N,N,N,N,W,W,W,N,N,N,W,N,N,N,W,W,W,W,N,N,N,W,N,N,N,N,N,N,N,N,R,N
N,W,W,W,N,N,N,W,W,W,W,N,N,N,W,W,W,W,W,W,W,W,W,W,W,W,W,N,N,N,N,W,W,W,W,N
N,W,W,W,N,N,N,W,W,W,W,N,N,N,W,W,W,N,W,W,W,W,N,W,W,W,W,N,N,N,N,W,W,W,W,N
N,W,W,W,N,N,N,W,W,W,W,N,N,N,W,W,W,N,W,W,W,W,N,W,W,W,W,W,N,N,N,W,W,W,W,N
N,W,W,W,N,N,N,W,W,W,W,N,N,N,W,W,W,N,W,W,W,W,N,W,W,W,W,W,N,N,N,W,W,W,W,N
N,W,W,W,N,N,N,W,W,W,W,N,N,N,W,W,W,N,W,W,W,W,N,W,W,W,W,W,W,N,N,W,W,W,W,N
N,W,W,W,N,N,N,W,W,W,W,N,N,N,W,W,W,N,W,W,W,W,N,W,W,W,W,W,W,W,N,W,W,W,W,N
N,W,W,W,W,N,W,W,W,W,W,W,N,W,W,W,W,N,W,W,W,W,N,W,W,W,W,W,W,W,W,W,W,W,W,N
N,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,N,W,W,W,W,N,W,W,W,W,W,W,W,W,W,W,W,W,N
N,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,N,W,W,W,W,W,W,W,N
N,N,W,W,W,W,W,W,W,N,W,W,W,W,W,W,N,N,W,W,W,W,N,W,W,W,W,N,N,W,W,W,W,W,W,N
N,N,W,W,W,W,W,W,W,N,W,W,W,W,W,W,N,N,W,W,W,W,N,W,W,W,W,N,N,N,W,W,W,W,W,N
N,N,W,W,W,W,W,W,W,N,W,W,W,W,W,W,N,N,W,W,W,W,N,W,W,W,W,N,N,N,W,W,W,W,W,N
N,N,N,W,W,W,W,W,N,N,N,W,W,W,W,N,N,N,W,W,W,W,N,W,W,W,W,N,N,N,N,W,W,W,W,N
N,N,N,W,W,W,W,W,N,N,N,W,W,W,W,N,N,N,W,W,W,W,N,W,W,W,W,N,N,N,N,W,W,W,W,N
N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,P,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
